,grid_seed,shuffling,network,mean_rate
0,trajs,2000,shuffled,0.23526249999999999
1,trajs,2000,shuffled,0.2461875
2,trajs,2000,non-shuffled,0.21505000000000002
3,trajs,2000,non-shuffled,0.23751250000000002
4,trajs,2000,shuffled,0.3053375
5,trajs,2000,non-shuffled,0.23399999999999999
6,trajs,2000,non-shuffled,0.20943750000000003
7,trajs,2000,shuffled,0.22266249999999999
8,trajs,2000,shuffled,0.2905875
9,trajs,2000,shuffled,0.2673
10,trajs,2000,non-shuffled,0.1845375
11,trajs,2000,non-shuffled,0.25539999999999996
12,trajs,2000,non-shuffled,0.23293749999999996
13,trajs,2000,shuffled,0.27931249999999996
14,trajs,2000,shuffled,0.2925625
15,trajs,2000,shuffled,0.2633
16,trajs,2000,shuffled,0.265425
17,trajs,2000,non-shuffled,0.18919999999999998
18,trajs,2000,shuffled,0.2603875
19,trajs,2000,non-shuffled,0.23377499999999998
20,trajs,2000,shuffled,0.28035000000000004
21,trajs,2000,non-shuffled,0.22447499999999998
22,trajs,2000,shuffled,0.26526250000000007
23,trajs,2000,non-shuffled,0.2665
24,trajs,2000,non-shuffled,0.273625
25,trajs,2000,non-shuffled,0.2796
26,trajs,2000,non-shuffled,0.2200625
27,trajs,2000,shuffled,0.26561250000000003
28,trajs,2000,non-shuffled,0.218025
29,trajs,2000,non-shuffled,0.194875
30,trajs,2000,shuffled,0.23152499999999998
31,trajs,2000,shuffled,0.2814
32,trajs,2000,shuffled,0.2688
33,trajs,2000,shuffled,0.2114125
34,trajs,2000,shuffled,0.28862499999999996
35,trajs,2000,non-shuffled,0.23951250000000002
36,trajs,2000,non-shuffled,0.2394875
37,trajs,2000,non-shuffled,0.2381875
38,trajs,2000,non-shuffled,0.18987500000000002
39,trajs,2000,shuffled,0.24632500000000004
40,trajs,2000,shuffled,0.2200875
41,trajs,2000,shuffled,0.21728750000000002
42,trajs,2000,non-shuffled,0.24779999999999996
43,trajs,2000,non-shuffled,0.21589999999999998
44,trajs,2000,non-shuffled,0.189875
45,trajs,2000,shuffled,0.24633750000000001
46,trajs,2000,shuffled,0.24557500000000002
47,trajs,2000,non-shuffled,0.26412500000000005
48,trajs,2000,shuffled,0.2965625
49,trajs,2000,shuffled,0.26575
50,trajs,2000,non-shuffled,0.1974
51,trajs,2000,non-shuffled,0.24505
52,trajs,2000,non-shuffled,0.26070000000000004
53,trajs,2000,shuffled,0.2829
54,trajs,2000,non-shuffled,0.1974125
55,trajs,2000,non-shuffled,0.23156249999999998
56,trajs,2000,shuffled,0.21997499999999998
57,trajs,2000,shuffled,0.2508
58,trajs,2000,non-shuffled,0.2466
59,trajs,2000,shuffled,0.22491250000000002
